team,n_players,fbref_coverage,squad_avg_age,squad_avg_caps,squad_total_goals_intl,avg_goals_per90,sum_goals_per90,top3_goals_per90,avg_assists_per90,sum_assists_per90,top3_assists_per90,avg_goals_scored,sum_goals_scored,top3_goals_scored,avg_assists,sum_assists,top3_assists,avg_minutes_played,sum_minutes_played,top3_minutes_played,avg_matches_played,sum_matches_played,top3_matches_played,avg_yellow_cards,sum_yellow_cards,top3_yellow_cards,avg_red_cards,sum_red_cards,top3_red_cards,avg_shots_per90,sum_shots_per90,top3_shots_per90,avg_shots_on_target,sum_shots_on_target,top3_shots_on_target,fifa_rank,fifa_points
Australia,26,0.19,27.423076923076923,28.23076923076923,74,0.04,0.2,0.06666666666666667,0.13999999999999999,0.7,0.2333333333333333,0.6,3.0,1.0,1.4,7.0,2.3333333333333335,1836.8,9184.0,2509.3333333333335,28.0,140.0,30.666666666666668,3.6,18.0,4.666666666666667,0.2,1.0,0.3333333333333333,13.2,66.0,18.666666666666668,3.2,16.0,5.0,22.0,1415.0
Paraguay,26,0.15,28.96153846153846,26.53846153846154,53,0.12,0.48,0.15,0.11499999999999999,0.45999999999999996,0.14333333333333334,2.5,10.0,3.0,2.25,9.0,2.6666666666666665,1936.5,7746.0,2267.0,29.25,117.0,30.666666666666668,4.75,19.0,5.666666666666667,0.0,0.0,0.0,34.75,139.0,42.333333333333336,12.25,49.0,15.0,31.0,1289.0
Turkey,26,0.31,27.653846153846153,37.30769230769231,97,0.23124999999999998,1.8499999999999999,0.4766666666666666,0.14875,1.19,0.31,4.5,36.0,9.0,3.125,25.0,6.333333333333333,1591.125,12729.0,2520.6666666666665,23.5,188.0,34.333333333333336,2.5,20.0,5.0,0.125,1.0,0.3333333333333333,36.875,295.0,65.33333333333333,13.875,111.0,26.0,26.0,1364.0
United States,26,0.46,26.923076923076923,37.0,125,0.16166666666666668,1.9400000000000002,0.43,0.09333333333333334,1.12,0.18666666666666668,3.6666666666666665,44.0,9.0,2.3333333333333335,28.0,4.666666666666667,2049.1666666666665,24590.0,2756.6666666666665,28.5,342.0,35.333333333333336,4.25,51.0,7.666666666666667,0.16666666666666666,2.0,0.6666666666666666,28.166666666666668,338.0,59.333333333333336,11.083333333333334,133.0,24.666666666666668,,
Curaçao,26,0.0,28.115384615384617,23.76923076923077,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,27,0.3,26.0,30.48148148148148,98,0.05625,0.45,0.13333333333333333,0.0275,0.22,0.07333333333333333,0.75,6.0,1.6666666666666667,0.5,4.0,1.3333333333333333,1061.375,8491.0,2167.0,16.375,131.0,27.0,2.375,19.0,6.0,0.25,2.0,0.6666666666666666,8.625,69.0,15.333333333333334,2.5,20.0,4.666666666666667,23.0,1398.0
Germany,28,0.93,28.107142857142858,31.178571428571427,110,0.18807692307692306,4.89,0.56,0.15615384615384617,4.0600000000000005,0.44333333333333336,3.923076923076923,102.0,13.333333333333334,2.9615384615384617,77.0,8.0,1990.576923076923,51755.0,3028.3333333333335,26.115384615384617,679.0,34.333333333333336,2.5384615384615383,66.0,7.0,0.0,0.0,0.0,27.423076923076923,713.0,76.33333333333333,10.038461538461538,261.0,29.333333333333332,9.0,1609.0
Ivory Coast,29,0.52,25.724137931034484,25.96551724137931,92,0.17266666666666666,2.59,0.39999999999999997,0.16333333333333336,2.45,0.3233333333333333,2.4,36.0,6.0,2.533333333333333,38.0,7.666666666666667,1249.0666666666666,18736.0,2347.3333333333335,20.066666666666666,301.0,33.666666666666664,1.8,27.0,4.666666666666667,0.06666666666666667,1.0,0.3333333333333333,20.466666666666665,307.0,54.666666666666664,7.933333333333334,119.0,21.0,28.0,1327.0
Japan,26,0.38,27.576923076923077,30.615384615384617,110,0.10400000000000001,1.04,0.25,0.071,0.71,0.18999999999999997,1.3,13.0,3.0,1.5,15.0,4.0,1765.8,17658.0,2704.0,26.4,264.0,32.333333333333336,2.4,24.0,4.0,0.1,1.0,0.3333333333333333,20.7,207.0,32.0,7.5,75.0,12.333333333333334,14.0,1518.0
Netherlands,28,0.86,27.642857142857142,33.392857142857146,166,0.15208333333333335,3.6500000000000004,0.5800000000000001,0.07,1.6800000000000002,0.2366666666666667,2.9166666666666665,70.0,9.333333333333334,1.375,33.0,4.333333333333333,1995.4583333333333,47891.0,3350.0,27.75,666.0,37.333333333333336,4.25,102.0,8.666666666666666,0.125,3.0,1.0,24.166666666666668,580.0,70.33333333333333,7.958333333333333,191.0,23.333333333333332,8.0,1614.0
Sweden,26,0.54,27.576923076923077,19.96153846153846,65,0.1235714285714286,1.7300000000000004,0.42333333333333334,0.07142857142857142,1.0,0.18333333333333335,2.142857142857143,30.0,6.666666666666667,1.0714285714285714,15.0,2.6666666666666665,1749.0714285714287,24487.0,2743.6666666666665,26.357142857142858,369.0,35.0,2.7142857142857144,38.0,6.0,0.2857142857142857,4.0,1.0,17.642857142857142,247.0,39.0,5.357142857142857,75.0,13.333333333333334,29.0,1318.0
Tunisia,26,0.27,26.653846153846153,22.384615384615383,43,0.06571428571428573,0.4600000000000001,0.15333333333333335,0.049999999999999996,0.35,0.11666666666666665,1.2857142857142858,9.0,3.0,0.8571428571428571,6.0,2.0,1413.0,9891.0,2294.6666666666665,21.571428571428573,151.0,29.333333333333332,4.0,28.0,7.0,0.2857142857142857,2.0,0.6666666666666666,12.714285714285714,89.0,19.333333333333332,3.4285714285714284,24.0,6.333333333333333,25.0,1376.0
Belgium,26,0.73,27.653846153846153,41.73076923076923,214,0.20526315789473684,3.9,0.9133333333333332,0.09736842105263158,1.8499999999999999,0.25,2.1052631578947367,40.0,6.333333333333333,2.1578947368421053,41.0,5.666666666666667,2051.0,38969.0,2910.0,27.31578947368421,519.0,33.333333333333336,3.1052631578947367,59.0,7.666666666666667,0.10526315789473684,2.0,0.6666666666666666,22.157894736842106,421.0,55.666666666666664,7.631578947368421,145.0,20.333333333333332,6.0,1647.0
Egypt,26,0.12,28.923076923076923,31.576923076923077,126,0.22666666666666666,0.6799999999999999,0.22666666666666666,0.2733333333333334,0.8200000000000001,0.2733333333333333,3.3333333333333335,10.0,3.3333333333333335,4.333333333333333,13.0,4.333333333333333,1596.0,4788.0,1596.0,28.333333333333332,85.0,28.333333333333332,1.6666666666666667,5.0,1.6666666666666667,0.0,0.0,0.0,44.0,132.0,44.0,12.0,36.0,12.0,45.0,1098.0
Iran,26,0.0,30.46153846153846,44.88461538461539,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1265.0
New Zealand,26,0.04,28.115384615384617,32.46153846153846,109,0.3,0.3,0.3,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,901.0,901.0,901.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,9.0,9.0,9.0,37.0,1198.0
Cape Verde,26,0.04,29.692307692307693,31.73076923076923,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1187.0
Saudi Arabia,26,0.04,28.653846153846153,35.65384615384615,96,0.13,0.13,0.13,0.27,0.27,0.27,2.0,2.0,2.0,4.0,4.0,4.0,1352.0,1352.0,1352.0,25.0,25.0,25.0,4.0,4.0,4.0,1.0,1.0,1.0,8.0,8.0,8.0,3.0,3.0,3.0,27.0,1341.0
Spain,26,0.85,26.73076923076923,28.576923076923077,117,0.1759090909090909,3.87,0.6,0.1359090909090909,2.9899999999999998,0.38999999999999996,4.136363636363637,91.0,15.0,3.0454545454545454,67.0,9.333333333333334,2216.9545454545455,48773.0,3217.3333333333335,29.363636363636363,646.0,37.333333333333336,3.727272727272727,82.0,8.333333333333334,0.13636363636363635,3.0,1.0,33.90909090909091,746.0,92.33333333333333,11.954545454545455,263.0,34.666666666666664,1.0,1840.0
Uruguay,26,0.35,28.807692307692307,35.88461538461539,74,0.1,0.9,0.2466666666666667,0.05555555555555555,0.5,0.13,2.3333333333333335,21.0,5.666666666666667,1.4444444444444444,13.0,3.3333333333333335,1884.0,16956.0,2709.3333333333335,26.666666666666668,240.0,32.666666666666664,3.5555555555555554,32.0,6.0,0.4444444444444444,4.0,1.3333333333333333,19.666666666666668,177.0,40.333333333333336,7.222222222222222,65.0,16.666666666666668,18.0,1487.0
France,27,0.89,27.185185185185187,31.925925925925927,107,0.23166666666666666,5.56,0.7799999999999999,0.16666666666666666,4.0,0.6433333333333332,5.083333333333333,122.0,17.666666666666668,3.625,87.0,12.666666666666666,2234.7083333333335,53633.0,3156.6666666666665,29.541666666666668,709.0,36.0,3.5,84.0,7.666666666666667,0.125,3.0,1.0,36.5,876.0,107.33333333333333,13.875,333.0,48.333333333333336,2.0,1789.0
Iraq,26,0.0,26.923076923076923,31.807692307692307,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,1165.0
